participant,alpha,loglog_r,n_points,mean_null,std_null,z_score,p_value,pnr,Proband,Gruppe2
0170_3_chunk_001_word_embeddings,0.827497133,0.988417177,107,0.600023108,0.080684173,2.819314089,0.00481264,0.99,0170_3,4.0
0423_3_chunk_003_word_embeddings,0.65245002,0.97435978,130,0.580778695,0.072064312,0.994546715,0.319956774,0.834,0423_3,2.0
0580_3_chunk_004_word_embeddings,0.601708704,0.988981527,282,0.551806562,0.050433189,0.989470281,0.322433103,0.844,0580_3,2.0
0530_3_chunk_004_word_embeddings,0.624325396,0.986692603,186,0.570835052,0.062834908,0.851283869,0.394611683,0.808,0530_3,4.0
0361_3_chunk_004_word_embeddings,0.605604741,0.991825799,404,0.558378503,0.042159424,1.120182248,0.262636107,0.862,0361_3,2.0
1436_1_chunk_003_word_embeddings,0.510927023,0.966717084,179,0.560390339,0.061367024,-0.806024358,0.420228804,0.224,1436_1,4.0
0573_3_chunk_002_word_embeddings,0.777802054,0.990931326,196,0.560451796,0.059692928,3.641139169,0.000271434,1.0,0573_3,2.0
1402_1_chunk_002_word_embeddings,0.607431386,0.981539212,319,0.557786474,0.046663515,1.063891395,0.287377902,0.844,1402_1,1.0
0816_3_chunk_001_word_embeddings,0.62946543,0.99496448,462,0.538504468,0.039991328,2.274517171,0.02293491,0.984,0816_3,1.0
0068_3_chunk_004_word_embeddings,0.642319236,0.974107707,128,0.587127981,0.07282664,0.757844308,0.448544194,0.788,0068_3,4.0
0573_3_chunk_001_word_embeddings,0.633560628,0.989328311,162,0.57426878,0.064726222,0.916040609,0.359645596,0.818,0573_3,2.0
0079_3_chunk_001_word_embeddings,0.533361101,0.972284295,148,0.573280465,0.06527818,-0.611526926,0.540850798,0.26,0079_3,4.0
1254_2_chunk_001_word_embeddings,0.683919755,0.978639843,136,0.572096052,0.07256725,1.540966541,0.123324929,0.932,1254_2,4.0
0815_2_chunk_001_word_embeddings,0.645271336,0.974674329,123,0.59151485,0.073824017,0.728170688,0.466509107,0.776,0815_2,2.0
0139_3_chunk_004_word_embeddings,0.52045158,0.959424848,184,0.569943732,0.057018555,-0.868000797,0.385393896,0.206,0139_3,2.0
1441_1_chunk_003_word_embeddings,0.571300842,0.987399114,381,0.546105238,0.043763722,0.57571896,0.564805158,0.72,1441_1,4.0
0069_3_chunk_001_word_embeddings,0.654673948,0.989328632,251,0.563022639,0.05407018,1.695043544,0.090067161,0.952,0069_3,1.0
0250_3_chunk_001_word_embeddings,0.582179051,0.986091183,381,0.541534091,0.043531267,0.933695791,0.350460837,0.828,0250_3,1.0
0257_3_chunk_002_word_embeddings,0.650517586,0.990677449,251,0.551985334,0.054923274,1.79399817,0.072813461,0.966,0257_3,4.0
1457-1_chunk_001_word_embeddings,0.527640085,0.987611659,373,0.542352727,0.045015765,-0.326833099,0.743794124,0.378,,
1190_2_chunk_001_word_embeddings,0.703325594,0.987670507,204,0.564238368,0.059025089,2.356408561,0.01845261,0.99,1190_2,4.0
1442_1_chunk_003_word_embeddings,0.484608294,0.977698062,262,0.549506298,0.054113666,-1.19929046,0.230415023,0.114,1442_1,4.0
0611_3_chunk_004_word_embeddings,0.63234518,0.993805141,223,0.558646612,0.057169198,1.289130708,0.197352649,0.894,0611_3,2.0
1437_1_chunk_002_word_embeddings,0.573867315,0.967995589,119,0.57834203,0.07591848,-0.05894106,0.952999054,0.492,1437_1,4.0
